컬렉션 넘버,마크,카드명,타입,분류,레어도
078/080,J,그로우 에너지,에너지,,R
079/080,J,텔레패스 에너지,에너지,,R
080/080,J,록 에너지,에너지,,R
081/080,J,분떠도리,,2진화 포켓몬,AR
082/080,J,나몰빼미,,기본 포켓몬,AR
083/080,J,파이어로,,기본 포켓몬,AR
084/080,J,아마루르가,,1진화 포켓몬,AR
085/080,J,데덴네,,기본 포켓몬,AR
086/080,J,삐삐,,기본 포켓몬,AR
087/080,J,냐스퍼,,기본 포켓몬,AR
088/080,J,대코파스,,2진화 포켓몬,AR
089/080,J,티고라스,,1진화 포켓몬,AR
090/080,J,드래피온,,1진화 포켓몬,AR
091/080,J,쌍검킬,,1진화 포켓몬,AR
092/080,J,레트라,,1진화 포켓몬,AR
093/080,J,모크나이퍼,,2진화 포켓몬 | 포켓몬 ex,SR
094/080,J,염뉴트,,1진화 포켓몬 | 포켓몬 ex,SR
095/080,J,메가아쿠스타,,1진화 포켓몬 | 포켓몬 ex,SR
096/080,J,메가픽시,,1진화 포켓몬 | 메가진화 ex,SR
097/080,J,메가지가르데,,기본 포켓몬 | 메가진화 ex,SR
098/080,J,이벨타르,,기본 포켓몬 | 포켓몬 ex,SR
099/080,J,메가무장조,,기본 포켓몬 | 메가진화 ex,SR
100/080,J,나옹,,기본 포켓몬 | 포켓몬 ex,SR
101/080,J,성스러운분말,아이템,,SR
102/080,J,에너지 리사이클,아이템,,SR
103/080,J,원더패치,포켓몬의 도구,,SR
104/080,J,포켓패드,포켓몬의 도구,,SR
105/080,J,명희의 격려,서포트,,SR
106/080,J,유카리,서포트,,SR
107/080,J,이노,서포트,,SR
108/080,J,타라곤,서포트,,SR
109/080,J,미르시티,스타디움,,SR
110/080,J,활력의 숲,스타디움,,SR
111/080,J,메가아쿠스타,,1진화 포켓몬 | 메가진화 ex,SAR
112/080,J,메가픽시,,1진화 포켓몬 | 메가진화 ex,SAR
113/080,J,메가지가르데,,기본 포켓몬 | 메가진화 ex,SAR
114/080,J,나옹,,기본 포켓몬 | 포켓몬 ex,SAR
115/080,J,명희의 격려,서포트,,SAR
116/080,J,유카리,서포트,,SAR
117/080,J,메가지가르데,,기본 포켓몬 | 메가진화 ex,MUR
