컬렉션 넘버,마크,카드명,타입,분류,레어도
041/101,H,렌트라 ex,,2진화 포켓몬 | 포켓몬 ex,RR
042/101,H,에몽가,,기본 포켓몬,C
043/101,H,찌리비,,기본 포켓몬,C
044/101,H,찌리비크,,1진화 포켓몬,U
045/101,H,삐삐,,기본 포켓몬,C
046/101,H,픽시,,1진화 포켓몬,U
047/101,H,캐이시,,기본 포켓몬,C
048/101,H,윤겔라,,1진화 포켓몬,C
049/101,H,후딘,,2진화 포켓몬,R
050/101,H,치렁,,기본 포켓몬,C
051/101,H,나룸퍼프,,기본 포켓몬,C
052/101,H,나루림,,1진화 포켓몬,U
053/101,H,모래꿍,,기본 포켓몬,C
054/101,H,모래성이당,,1진화 포켓몬,C
055/101,H,이야후,,기본 포켓몬,R
056/101,H,기로치,,기본 포켓몬,R
057/101,H,모래두지,,기본 포켓몬,C
058/101,H,고지,,1진화 포켓몬,U
059/101,H,으랏차,,기본 포켓몬,C
060/101,H,토쇠골,,1진화 포켓몬,C
061/101,H,노보청,,2진화 포켓몬,U
062/101,H,초롱순,,기본 포켓몬,C
063/101,H,킬라플로르,,1진화 포켓몬,U
064/101,H,조타구,,기본 포켓몬,R
065/101,H,오거폰 주춧돌의 가면 ex,,기본 포켓몬 | 포켓몬 ex,RR
066/101,H,포챠나,,기본 포켓몬,C
067/101,H,그라에나,,1진화 포켓몬,U
068/101,H,마디네,,기본 포켓몬,C
069/101,H,휠구,,1진화 포켓몬,C
070/101,H,펜드라,,2진화 포켓몬,U
071/101,H,사나운버섯,,기본 포켓몬 | 고대,U
072/101,H,무장조,,기본 포켓몬,C
073/101,H,가보리,,기본 포켓몬,C
074/101,H,갱도라,,1진화 포켓몬,C
075/101,H,보스로라,,2진화 포켓몬,U
076/101,H,히드런,,기본 포켓몬,R
077/101,H,부르롱,,기본 포켓몬,C
078/101,H,부르르룸,,1진화 포켓몬,U
079/101,H,드라꼰,,기본 포켓몬,C
080/101,H,드래런치,,1진화 포켓몬,C
081/101,H,드래펄트 ex,,2진화 포켓몬 | 포켓몬 ex,RR
082/101,H,싸리용,,기본 포켓몬,U
083/101,H,파오리,,기본 포켓몬,C
084/101,H,럭키,,기본 포켓몬,C
085/101,H,해피너스 ex,,1진화 포켓몬 | 포켓몬 ex,RR
086/101,H,에이팜,,기본 포켓몬,C
087/101,H,겟핸보숭,,1진화 포켓몬,U
088/101,H,꼬지보리,,기본 포켓몬,C
089/101,H,스완나,,1진화 포켓몬,U
090/101,H,곤충채집세트,아이템,,U
091/101,H,도깨비의 가면,아이템,,U
092/101,H,시크릿박스,아이템 | ACE SPEC,,ACE
093/101,H,포켓몬 회수 사이클론,아이템 | ACE SPEC,,ACE
094/101,H,향연피리,아이템,,U
095/101,H,핸디 서큘레이터,포켓몬의 도구,,U
096/101,H,시유,서포트,,U
097/101,H,카지,서포트,,U
098/101,H,팔자크,서포트,,U
099/101,H,재밍타워,스타디움,,U
100/101,H,축제회장,스타디움,,U
101/101,H,레거시 에너지,특수 에너지 | ACE SPEC,,ACE
102/101,H,해루미,,1진화 포켓몬,AR
103/101,H,과미르,,1진화 포켓몬,AR
104/101,H,눈여아,,1진화 포켓몬,AR
105/101,H,찌리비,,기본 포켓몬,AR
106/101,H,치렁,,기본 포켓몬,AR
107/101,H,이야후,,기본 포켓몬,AR
108/101,H,기로치,,기본 포켓몬,AR
109/101,H,으랏차,,기본 포켓몬,AR
110/101,H,조타구,,기본 포켓몬,AR
111/101,H,갱도라,,1진화 포켓몬,AR
112/101,H,싸리용,,기본 포켓몬,AR
113/101,H,럭키,,기본 포켓몬,AR
114/101,H,오거폰 벽록의 가면 ex,,기본 포켓몬 | 포켓몬 ex,SR
115/101,H,오거폰 화덕의 가면 ex,,기본 포켓몬 | 포켓몬 ex,SR
116/101,H,돌핀맨 ex,,1진화 포켓몬 | 포켓몬 ex,SR
117/101,H,오거폰 우물의 가면 ex,,기본 포켓몬 | 포켓몬 ex,SR
118/101,H,렌트라 ex,,2진화 포켓몬 | 포켓몬 ex,SR
119/101,H,오거폰 주춧돌의 가면 ex,,기본 포켓몬 | 포켓몬 ex,SR
120/101,H,드래펄트 ex,,2진화 포켓몬 | 포켓몬 ex,SR
121/101,H,해피너스 ex,,1진화 포켓몬 | 포켓몬 ex,SR
122/101,H,시유,서포트,,SR
123/101,H,카지,서포트,,SR
124/101,H,팔자크,서포트,,SR
125/101,H,오거폰 벽록의 가면 ex,,기본 포켓몬 | 포켓몬 ex,SAR
126/101,H,오거폰 화덕의 가면 ex,,기본 포켓몬 | 포켓몬 ex,SAR
127/101,H,오거폰 우물의 가면 ex,,기본 포켓몬 | 포켓몬 ex,SAR
128/101,H,오거폰 주춧돌의 가면 ex,,기본 포켓몬 | 포켓몬 ex,SAR
129/101,H,시유,서포트,,SAR
130/101,H,카지,서포트,,SAR
131/101,H,오거폰 벽록의 가면 ex,,기본 포켓몬 | 포켓몬 ex,UR
132/101,H,개조해머,아이템,,UR
133/101,H,절친 포핀,아이템,,UR
