컬렉션 넘버,마크,카드명,타입,분류,레어도
050/102,H,뿔카노,,기본 포켓몬,C
051/102,H,코뿌리,,1진화 포켓몬,C
052/102,H,거대코뿌리,,2진화 포켓몬,R
053/102,H,요가랑,,기본 포켓몬,C
054/102,H,요가램 ex,,1진화 포켓몬 | 포켓몬 ex,RR
055/102,H,비조푸,,기본 포켓몬,C
056/102,H,비조도,,1진화 포켓몬,U
057/102,H,판짱,,기본 포켓몬,C
058/102,H,디안시,,기본 포켓몬,U
059/102,H,오기지게,,기본 포켓몬,C
060/102,H,대여르,,기본 포켓몬,C
061/102,H,꼴깍몬,,기본 포켓몬,C
062/102,H,꿀꺽몬,,1진화 포켓몬,U
063/102,H,부란다,,1진화 포켓몬,U
064/102,H,메롱꿍,,기본 포켓몬,C
065/102,H,쏘겨모,,1진화 포켓몬,C
066/102,H,오롱털,,2진화 포켓몬,U
067/102,H,기어르,,기본 포켓몬,C
068/102,H,기기어르,,1진화 포켓몬,C
069/102,H,기기기어르,,2진화 포켓몬,R
070/102,H,멜탄,,기본 포켓몬,C
071/102,H,멜메탈,,1진화 포켓몬,U
072/102,H,두랄루돈,,기본 포켓몬,C
073/102,H,브라두라스,,1진화 포켓몬,R
074/102,H,꿈트렁 ex,,기본 포켓몬 | 포켓몬 ex,RR
075/102,H,날뛰는우레,,기본 포켓몬,R
076/102,H,부우부,,기본 포켓몬,C
077/102,H,야부엉,,1진화 포켓몬,R
078/102,H,나옹마,,기본 포켓몬,C
079/102,H,몬냥이,,1진화 포켓몬,C
080/102,H,스핀로토무,,기본 포켓몬,C
081/102,H,버프론,,기본 포켓몬,U
082/102,H,토네로스,,기본 포켓몬,U
083/102,H,화살꼬빈,,기본 포켓몬,C
084/102,H,불화살빈,,1진화 포켓몬,C
085/102,H,파이어로,,2진화 포켓몬,U
086/102,H,우르,,기본 포켓몬,C
087/102,H,배우르,,1진화 포켓몬,U
088/102,H,테라파고스 ex,,기본 포켓몬 | 포켓몬 ex,RR
089/102,H,오래된 덮개화석,아이템,,C
090/102,H,오래된 뿌리화석,아이템,,C
091/102,H,유리나팔,아이템,,U
092/102,H,야파열매,포켓몬의 도구,,U
093/102,H,오카열매,포켓몬의 도구,,U
094/102,H,반짝이는 결정,포켓몬의 도구 | ACE SPEC,,ACE
095/102,H,중력옥,포켓몬의 도구,,U
096/102,H,디럭스봄,포켓몬의 도구 | ACE SPEC,,ACE
097/102,H,하솔,서포트,,U
098/102,H,타로,서포트,,U
099/102,H,곤포,서포트,,U
100/102,H,브라이어,서포트,,U
101/102,H,위대한 거목,스타디움 | ACE SPEC,,ACE
102/102,H,제로의 대공동,스타디움,,U
103/102,H,레디안,,1진화 포켓몬,AR
104/102,H,릴링,,1진화 포켓몬,AR
105/102,H,폭거북스,,기본 포켓몬,AR
106/102,H,래비풋,,1진화 포켓몬,AR
107/102,H,모단단게,,1진화 포켓몬,AR
108/102,H,파쪼옥,,기본 포켓몬,AR
109/102,H,제라오라,,기본 포켓몬,AR
110/102,H,마빌크,,기본 포켓몬,AR
111/102,H,요가랑,,기본 포켓몬,AR
112/102,H,꼴깍몬,,기본 포켓몬,AR
113/102,H,브라두라스,,1진화 포켓몬,AR
114/102,H,야부엉,,1진화 포켓몬,AR
115/102,H,과미드라 ex,,2진화 포켓몬 | 포켓몬 ex,SR
116/102,H,에이스번 ex,,2진화 포켓몬 | 포켓몬 ex,SR
117/102,H,라프라스 ex,,기본 포켓몬 | 포켓몬 ex,SR
118/102,H,전툴라 ex,,1진화 포켓몬 | 포켓몬 ex,SR
119/102,H,바우첼 ex,,1진화 포켓몬 | 포켓몬 ex,SR
120/102,H,요가램 ex,,1진화 포켓몬 | 포켓몬 ex,SR
121/102,H,꿈트렁 ex,,기본 포켓몬 | 포켓몬 ex,SR
122/102,H,테라파고스 ex,,기본 포켓몬 | 포켓몬 ex,SR
123/102,H,하솔,서포트,,SR
124/102,H,타로,서포트,,SR
125/102,H,곤포,서포트,,SR
126/102,H,브라이어,서포트,,SR
127/102,H,과미드라 ex,,2진화 포켓몬 | 포켓몬 ex,SAR
128/102,H,전툴라 ex,,1진화 포켓몬 | 포켓몬 ex,SAR
129/102,H,바우첼 ex,,1진화 포켓몬 | 포켓몬 ex,SAR
130/102,H,테라파고스 ex,,기본 포켓몬 | 포켓몬 ex,SAR
131/102,H,타로,서포트,,SAR
132/102,H,브라이어,서포트,,SAR
133/102,H,테라파고스 ex,,기본 포켓몬 | 포켓몬 ex,UR
134/102,G,용기의부적,포켓몬의 도구,,UR
135/102,H,제로의 대공동,스타디움,,UR
