컬렉션 넘버,마크,카드명,타입,분류,레어도
114/086,I,툰베어,,1진화 포켓몬,AR
115/086,I,프리지오,,기본 포켓몬,AR
116/086,I,에몽가,,기본 포켓몬,AR
117/086,I,저리어,,기본 포켓몬,AR
118/086,I,저리릴,,1진화 포켓몬,AR
119/086,I,저리더프,,2진화 포켓몬,AR
120/086,I,볼트로스,,2진화 포켓몬,AR
121/086,I,몽나,,기본 포켓몬,AR
122/086,I,몽얌나,,1진화 포켓몬,AR
123/086,I,유니란,,기본 포켓몬,AR
124/086,I,듀란,,1진화 포켓몬,AR
125/086,I,란쿨루스,,2진화 포켓몬,AR
126/086,I,리그레,,기본 포켓몬,AR
127/086,I,벰크,,1진화 포켓몬,AR
128/086,I,골비람,,기본 포켓몬,AR
129/086,I,골루그,,1진화 포켓몬,AR
130/086,I,두더류,,기본 포켓몬,AR
131/086,I,으랏차,,기본 포켓몬,AR
132/086,I,토쇠골,,1진화 포켓몬,AR
133/086,I,노보청,,2진화 포켓몬,AR
134/086,I,던지미,,기본 포켓몬,AR
135/086,I,돌살이,,기본 포켓몬,AR
136/086,I,암팰리스,,1진화 포켓몬,AR
137/086,I,랜드로스,,기본 포켓몬,AR
138/086,I,마디네,,기본 포켓몬,AR
139/086,I,휠구,,1진화 포켓몬,AR
140/086,I,펜드라,,2진화 포켓몬,AR
141/086,I,깜눈크,,기본 포켓몬,AR
142/086,I,악비르,,1진화 포켓몬,AR
143/086,I,악비아르,,2진화 포켓몬,AR
144/086,I,벌차이,,기본 포켓몬,AR
145/086,I,버랜지나,,1진화 포켓몬,AR
146/086,I,슈바르고,,1진화 포켓몬,AR
147/086,I,자망칼,,기본 포켓몬,AR
148/086,I,절각참,,1진화 포켓몬,AR
149/086,I,코바르온,,기본 포켓몬,AR
150/086,I,터검니,,기본 포켓몬,AR
151/086,I,액슨도,,1진화 포켓몬,AR
152/086,I,액스라이즈,,2진화 포켓몬,AR
153/086,I,콩둘기,,기본 포켓몬,AR
154/086,I,유토브,,1진화 포켓몬,AR
155/086,I,켄호로우,,2진화 포켓몬,AR
156/086,I,다부니,,기본 포켓몬,AR
157/086,I,치라미,,기본 포켓몬,AR
158/086,I,치라치노,,1진화 포켓몬,AR
159/086,I,샤로다,,2진화 포켓몬 | 포켓몬 ex,SR
160/086,I,큐레무,,기본 포켓몬 | 포켓몬 ex,SR
161/086,I,제크로무,,기본 포켓몬 | 포켓몬 ex,SR
162/086,I,메로엣타,,기본 포켓몬 | 포켓몬 ex,SR
163/086,I,몰드류,,1진화 포켓몬 | 포켓몬 ex,SR
164/086,I,게노세크트,,기본 포켓몬 | 포켓몬 ex,SR
165/086,I,N의 방안,서포트,,SR
166/086,I,주리,서포트,,SR
167/086,I,샤로다,,2진화 포켓몬 | 포켓몬 ex,SAR
168/086,I,큐레무,,기본 포켓몬 | 포켓몬 ex,SAR
169/086,I,제크로무,,기본 포켓몬 | 포켓몬 ex,SAR
170/086,I,메로엣타,,기본 포켓몬 | 포켓몬 ex,SAR
171/086,I,몰드류,,1진화 포켓몬 | 포켓몬 ex,SAR
172/086,I,게노세크트,,기본 포켓몬 | 포켓몬 ex,SAR
173/086,I,N의 방안,서포트,,SAR
174/086,I,제크로무,,기본 포켓몬 | 포켓몬 ex,BWR
