컬렉션 넘버,마크,카드명,타입,분류,레어도
099/080,I,엠페르트,,2진화 포켓몬 | 포켓몬 ex,SR
100/080,I,메가이어롭,,1진화 포켓몬 | 메가진화 ex,SR
101/080,I,히트버너,아이템,,SR
102/080,I,포켓몬 교체,아이템,,SR
103/080,I,성스러운 축복,포켓몬의 도구,,SR
104/080,I,펑크멧,포켓몬의 도구,,SR
105/080,I,블래리의 한 수,서포트,,SR
106/080,I,빛나,서포트,,SR
107/080,I,불놀이꾼,서포트,,SR
108/080,I,배틀 콜로세움,스타디움,,SR
109/080,I,이그니션 에너지,에너지,,SR
110/080,I,메가리자몽X,,2진화 포켓몬 | 메가진화 ex,SAR
111/080,I,춤추새,,기본 포켓몬 | 포켓몬 ex,SAR
112/080,I,로토무,,기본 포켓몬 | 포켓몬 ex,SAR
113/080,I,메가샤크니아,,1진화 포켓몬 | 메가진화 ex,SAR
114/080,I,메가이어롭,,1진화 포켓몬 | 메가진화 ex,SAR
115/080,I,빛나,서포트,,SAR
116/080,I,메가리자몽X,,2진화 포켓몬 | 메가진화 ex,MUR
