컬렉션 넘버,마크,카드명,타입,분류,레어도
037/098,I,로켓단의 슬리프,,기본 포켓몬 | 트레이너의 포켓몬,C
038/098,I,로켓단의 슬리퍼,,1진화 포켓몬 | 트레이너의 포켓몬,U
039/098,I,로켓단의 뮤츠,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
040/098,I,로켓단의 마자용,,기본 포켓몬,R
041/098,I,로켓단의 랑딸랑,,기본 포켓몬 | 트레이너의 포켓몬,C
042/098,I,로켓단의 따라큐,,기본 포켓몬 | 트레이너의 포켓몬,U
043/098,I,로켓단의 레돔벌레,,1진화 포켓몬 | 트레이너의 포켓몬,C
044/098,I,로켓단의 이올브,,2진화 포켓몬 | 트레이너의 포켓몬,U
045/098,I,망키,,기본 포켓몬,C
046/098,I,성원숭,,1진화 포켓몬,C
047/098,I,저승갓숭,,2진화 포켓몬,R
048/098,I,로켓단의 애버라스,,기본 포켓몬 | 트레이너의 포켓몬,C
049/098,I,로켓단의 데기라스,,1진화 포켓몬 | 트레이너의 포켓몬,U
050/098,I,로켓단의 마기라스,,2진화 포켓몬 | 트레이너의 포켓몬,R
051/098,I,코코파스,,기본 포켓몬,C
052/098,I,대코파스,,1진화 포켓몬,U
053/098,I,요가랑,,기본 포켓몬,C
054/098,I,요가램,,1진화 포켓몬,U
055/098,I,레지락,,기본 포켓몬 | 포켓몬 ex,RR
056/098,I,로켓단의 아보,,기본 포켓몬 | 트레이너의 포켓몬,C
057/098,I,로켓단의 아보크,,1진화 포켓몬 | 트레이너의 포켓몬,U
058/098,I,로켓단의 니드런♀,,기본 포켓몬 | 트레이너의 포켓몬,C
059/098,I,로켓단의 니드리나,,1진화 포켓몬 | 트레이너의 포켓몬,C
060/098,I,로켓단의 니드퀸,,2진화 포켓몬 | 트레이너의 포켓몬,U
061/098,I,로켓단의 니드런♂,,기본 포켓몬 | 트레이너의 포켓몬,C
062/098,I,로켓단의 니드리노,,1진화 포켓몬 | 트레이너의 포켓몬,C
063/098,I,로켓단의 니드킹,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
064/098,I,로켓단의 주뱃,,기본 포켓몬 | 트레이너의 포켓몬,C
065/098,I,로켓단의 골뱃,,1진화 포켓몬 | 트레이너의 포켓몬,U
066/098,I,로켓단의 크로뱃,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
067/098,I,로켓단의 질퍽이,,기본 포켓몬 | 트레이너의 포켓몬,C
068/098,I,로켓단의 질뻐기,,1진화 포켓몬 | 트레이너의 포켓몬,U
069/098,I,로켓단의 또가스,,기본 포켓몬 | 트레이너의 포켓몬,C
070/098,I,로켓단의 또도가스,,1진화 포켓몬 | 트레이너의 포켓몬,U
071/098,I,로켓단의 니로우,,기본 포켓몬 | 트레이너의 포켓몬,U
072/098,I,로켓단의 포푸니,,기본 포켓몬 | 트레이너의 포켓몬,U
073/098,I,쏘콘,,기본 포켓몬,U
074/098,I,무장조,,기본 포켓몬,C
075/098,I,자마젠타,,기본 포켓몬,R
076/098,I,로켓단의 꼬렛,,기본 포켓몬 | 트레이너의 포켓몬,C
077/098,I,로켓단의 레트라,,1진화 포켓몬 | 트레이너의 포켓몬,C
078/098,I,로켓단의 나옹,,기본 포켓몬 | 트레이너의 포켓몬,C
079/098,I,로켓단의 페르시온,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
080/098,I,캥카,,기본 포켓몬,C
081/098,I,로켓단의 폴리곤,,기본 포켓몬 | 트레이너의 포켓몬,C
082/098,I,로켓단의 폴리곤2,,1진화 포켓몬 | 트레이너의 포켓몬,C
083/098,I,로켓단의 폴리곤Z,,2진화 포켓몬 | 트레이너의 포켓몬,U
084/098,I,테일로,,기본 포켓몬,C
085/098,I,스왈로,,1진화 포켓몬,C
086/098,I,시비꼬,,기본 포켓몬,C
087/098,I,로켓단의 깜짝봄,아이템,,U
088/098,I,로켓단의 리시버,아이템,,U
089/098,I,로켓단의 방해로봇,아이템,,U
090/098,I,로켓단의 슈퍼볼,아이템,,U
091/098,I,로켓단의 람다,서포트,,U
092/098,I,로켓단의 랜스,서포트,,U
093/098,I,로켓단의 비주기,서포트,,U
094/098,I,로켓단의 아테나,서포트,,U
095/098,I,로켓단의 아폴로,서포트,,U
096/098,I,로켓단의 감시탑,스타디움,,U
097/098,I,로켓단의 팩토리,스타디움,,U
098/098,I,로켓단 에너지,에너지,,U
099/098,I,로켓단의 트래피더,,1진화 포켓몬 | 트레이너의 포켓몬,AR
100/098,I,로켓단의 헬가,,1진화 포켓몬 | 트레이너의 포켓몬,AR
101/098,I,번치코,,2진화 포켓몬,AR
102/098,I,진주몽,,1진화 포켓몬,AR
103/098,I,로켓단의 마자용,,1진화 포켓몬 | 트레이너의 포켓몬,AR
104/098,I,로켓단의 이올브,,2진화 포켓몬 | 트레이너의 포켓몬,AR
105/098,I,로켓단의 또도가스,,1진화 포켓몬 | 트레이너의 포켓몬,AR
106/098,I,로켓단의 니로우,,기본 포켓몬 | 트레이너의 포켓몬,AR
107/098,I,자마젠타,,기본 포켓몬,AR
108/098,I,로켓단의 레트라,,1진화 포켓몬 | 트레이너의 포켓몬,AR
109/098,I,로켓단의 나옹,,기본 포켓몬 | 트레이너의 포켓몬,AR
110/098,I,캥카,,기본 포켓몬,AR
111/098,I,올리르바,,2진화 포켓몬 | 포켓몬 ex,SR
112/098,I,로켓단의 파이어,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
113/098,I,우락고래,,1진화 포켓몬 | 포켓몬 ex,SR
114/098,I,로켓단의 뮤츠,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
115/098,I,레지락,,기본 포켓몬 | 포켓몬 ex,SR
116/098,I,로켓단의 니드킹,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
117/098,I,로켓단의 크로뱃,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
118/098,I,로켓단의 페르시온,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
119/098,I,로켓단의 람다,서포트,,SR
120/098,I,로켓단의 랜스,서포트,,SR
121/098,I,로켓단의 비주기,서포트,,SR
122/098,I,로켓단의 아테나,서포트,,SR
123/098,I,로켓단의 아폴로,서포트,,SR
124/098,I,로켓단의 파이어,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
125/098,I,로켓단의 뮤츠,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
126/098,I,로켓단의 니드킹,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
127/098,I,로켓단의 크로뱃,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
128/098,I,로켓단의 비주기,서포트,,SAR
129/098,I,로켓단의 아테나,서포트,,SAR
130/098,I,로켓단의 뮤츠,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,UR
131/098,I,로켓단의 크로뱃,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,UR
132/098,H,재밍타워,스타디움,,UR
