컬렉션 넘버,마크,카드명,타입,분류,레어도
028/063,I,난천의 빈티나,,기본 포켓몬 | 트레이너의 포켓몬,C
029/063,I,난천의 밀로틱,,1진화 포켓몬 | 트레이너의 포켓몬,U
030/063,I,브이젤,,기본 포켓몬,C
031/063,I,플로젤,,1진화 포켓몬,U
032/063,I,어써러셔,,기본 포켓몬 | 포켓몬 ex,RR
033/063,I,오거폰 우물의 가면,,기본 포켓몬 | 포켓몬 ex,U
034/063,I,에레브,,기본 포켓몬,C
035/063,I,에레키블,,1진화 포켓몬 | 포켓몬 ex,RR
036/063,I,심향의 피츄,,기본 포켓몬 | 트레이너의 포켓몬,C
037/063,I,썬더라이,,기본 포켓몬,C
038/063,I,썬더볼트,,1진화 포켓몬,C
039/063,I,로토무,,기본 포켓몬,C
040/063,I,제라오라,,기본 포켓몬,R
041/063,I,심향의 꼬지모,,기본 포켓몬 | 트레이너의 포켓몬,C
042/063,I,난천의 딥상어동,,기본 포켓몬 | 트레이너의 포켓몬,C
043/063,I,난천의 한바이트,,1진화 포켓몬 | 트레이너의 포켓몬,C
044/063,I,난천의 한카리아스,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
045/063,I,머드나기,,기본 포켓몬,C
046/063,I,만마드,,1진화 포켓몬 | 포켓몬 ex,U
047/063,I,페퍼의 들눈해,,기본 포켓몬 | 트레이너의 포켓몬,C
048/063,I,페퍼의 육파리,,1진화 포켓몬 | 트레이너의 포켓몬,U
049/063,I,오거폰 주춧돌의 가면,,기본 포켓몬,U
050/063,I,난천의 화강돌,,기본 포켓몬 | 트레이너의 포켓몬,U
051/063,I,페퍼의 오라티프,,기본 포켓몬 | 트레이너의 포켓몬,C
052/063,I,페퍼의 마피티프,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
053/063,I,켄타로스,,기본 포켓몬,C
054/063,I,페퍼의 탐리스,,기본 포켓몬 | 트레이너의 포켓몬,C
055/063,I,페퍼의 요씽리스,,1진화 포켓몬 | 트레이너의 포켓몬,R
056/063,I,성스러운분말,아이템,,U
057/063,I,페퍼의 샌드위치,아이템,,U
058/063,G,포켓몬 교체,아이템,,U
059/063,G,포켓몬 캐처,아이템,,U
060/063,I,난천의 파워웨이트,포켓몬의 도구,,U
061/063,I,MC의 호응유도,서포트,,C
062/063,I,심향의 모험,서포트,,U
063/063,G,저지맨,서포트,,U
064/063,I,왕자리,,기본 포켓몬,AR
065/063,I,난천의 로즈레이드,,1진화 포켓몬 | 트레이너의 포켓몬,AR
066/063,I,쉐이미,,기본 포켓몬,AR
067/063,I,암팰리스,,1진화 포켓몬 | 트레이너의 포켓몬,AR
068/063,I,과미드라,,2진화 포켓몬,AR
069/063,I,날쌩마,,1진화 포켓몬,AR
070/063,I,심향의 블레이범,,2진화 포켓몬 | 트레이너의 포켓몬,AR
071/063,I,이슬의 고라파덕,,기본 포켓몬 | 트레이너의 포켓몬,AR
072/063,I,이슬의 라프라스,,기본 포켓몬 | 트레이너의 포켓몬,AR
073/063,I,썬더라이,,기본 포켓몬,AR
074/063,I,로토무,,기본 포켓몬,AR
075/063,I,페퍼의 요씽리스,,1진화 포켓몬 | 트레이너의 포켓몬,AR
076/063,I,메가자리,,기본 포켓몬 | 포켓몬 ex,SR
077/063,I,심향의 칠색조,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
078/063,I,어써러셔,,기본 포켓몬 | 포켓몬 ex,SR
079/063,I,에레키블,,1진화 포켓몬 | 포켓몬 ex,SR
080/063,I,난천의 한카리아스,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
081/063,I,페퍼의 마피티프,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SR
082/063,I,MC의 호응유도,서포트,,SR
083/063,I,심향의 모험,서포트,,SR
084/063,G,저지맨,서포트,,SR
085/063,I,메가자리,,1진화 포켓몬 | 포켓몬 ex,SAR
086/063,I,심향의 칠색조,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
087/063,I,난천의 한카리아스,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
088/063,I,페퍼의 마피티프,,1진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,SAR
089/063,I,심향의 모험,서포트,,SAR
090/063,I,심향의 칠색조,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,UR
091/063,I,난천의 한카리아스,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,UR
092/063,I,누룩스시티,스타디움,,UR
